trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.41999999999999993, 'e': 0.44932896411722156}",20,0,-28.4308326436394,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
161,False,"{'a': 0.41949999999999993, 'e': 0.44708792655935642}",35,16,4.948942291664498,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.41899999999999993, 'e': 0.44485806622294111}",30,16,11.014386424073548,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.4184999999999999, 'e': 0.44263932736135109}",20,1,-9.70913038251608,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
164,False,"{'a': 0.4179999999999999, 'e': 0.44043165450599925}",30,3,-31.32517444618003,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 0}",1
165,False,"{'a': 0.4174999999999999, 'e': 0.43823499246494918}",25,8,3.1964337336742603,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.4169999999999999, 'e': 0.43604928632153556}",20,11,13.027531060303566,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4164999999999999, 'e': 0.4338744814329909}",20,5,3.256278793074747,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.4159999999999999, 'e': 0.43171052342907973}",25,14,-78.50875215719435,"{0: 7, 1: 0, 2: 1, 3: 2, 4: 1}",1
169,False,"{'a': 0.4154999999999999, 'e': 0.42955735821073915}",20,0,-36.9263968746081,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
170,False,"{'a': 0.4149999999999999, 'e': 0.42741493194872671}",25,12,-34.558585005920584,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.4144999999999999, 'e': 0.42528319108227414}",35,0,-43.26408167896731,"{0: 30, 1: 1, 2: 2, 3: 1, 4: 1}",0
172,False,"{'a': 0.4139999999999999, 'e': 0.42316208231774882}",20,5,17.416618343636642,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
